ccode,premier
ABW,0
AFG,0
AGO,2
ALB,0
ARE,1
ARG,1
ARM,0
ATG,0
AUS,2
AUT,1
AZE,0
BDI,0
BEL,7
BEN,0
BFA,0
BGD,2
BGR,2
BHR,0
BHS,0
BIH,0
BLR,1
BLZ,0
BMU,0
BOL,0
BRA,2
BRB,0
BRN,2
BTN,0
BWA,0
CAF,0
CAN,3
CHE,3
CHL,2
CIV,0
CMR,1
COD,0
COG,1
COL,1
COM,0
CPV,0
CRI,0
CUB,1
CYP,0
CZE,1
DEU,9
DJI,0
DMA,0
DNK,1
DOM,0
DZA,1
ECU,0
EGY,3
ERI,0
ESP,1
EST,0
ETH,2
FIN,1
FJI,1
FRA,4
FRO,0
FSM,0
GAB,0
GBR,6
GEO,0
GHA,1
GIN,0
GMB,0
GNB,0
GNQ,0
GRC,2
GRD,0
GRL,0
GTM,0
GUY,0
HKG,0
HND,0
HRV,1
HTI,0
HUN,2
IDN,3
IND,4
IRL,2
IRN,0
IRQ,0
ISL,1
ISR,0
ITA,4
JAM,0
JOR,0
JPN,4
KAZ,4
KEN,2
KGZ,3
KHM,4
KIR,0
KNA,0
KOR,4
KWT,0
LAO,4
LBN,0
LBR,0
LBY,0
LCA,0
LKA,2
LSO,0
LTU,0
LUX,2
LVA,1
MAC,0
MAR,1
MCO,0
MDA,0
MDG,0
MDV,1
MEX,1
MHL,0
MKD,0
MLI,0
MLT,0
MMR,2
MNE,0
MNG,2
MOZ,0
MRT,0
MUS,0
MWI,0
MYS,4
NAM,0
NCL,0
NER,0
NGA,1
NIC,0
NLD,4
NOR,0
NPL,2
NRU,0
NZL,2
OMN,0
PAK,4
PAN,0
PER,1
PHL,3
PLW,0
PNG,0
POL,1
PRK,1
PRT,1
PRY,0
PYF,0
QAT,1
ROU,1
RUS,11
RWA,0
SAU,1
SDN,0
SEN,0
SGP,3
SLB,0
SLE,0
SLV,0
SMR,0
SOM,0
SRB,1
SSD,0
STP,0
SUR,0
SVK,1
SVN,0
SWE,1
SWZ,0
SYC,0
SYR,0
TCD,0
TGO,0
THA,4
TJK,3
TKM,1
TLS,0
TON,0
TTO,0
TUN,0
TUR,2
TUV,0
TZA,1
UGA,1
UKR,0
URY,1
USA,2
UZB,2
VCT,0
VEN,0
VNM,3
VUT,0
WSM,0
YEM,0
ZAF,2
ZMB,0
ZWE,0
